date,sector,domestic_mean,domestic_std,domestic_count
2019-12-17,2차전지,0.5003163,,1
2019-12-19,2차전지,0.50415224,0.005748156,2
2019-12-20,2차전지,0.9990647,,1
2019-12-23,2차전지,0.7499585,0.35345912,2
2019-12-24,2차전지,0.99978256,0.00016900281,3
2019-12-26,2차전지,0.8749236,0.24994716,4
2019-12-27,2차전지,0.99901634,,1
2019-12-30,2차전지,0.4999722,,1
2020-01-01,2차전지,0.5000339,,1
2020-01-03,2차전지,0.5000291,,1
2020-01-06,2차전지,0.99991053,,1
2020-01-07,2차전지,0.7361449,0.2735421,4
2020-01-09,2차전지,0.8986424,0.22282775,5
2020-01-10,2차전지,0.9998498,9.062012e-05,17
2020-01-12,2차전지,0.008927776,,1
2020-01-14,2차전지,0.999597,0.00035726643,3
2020-01-16,2차전지,0.66823757,0.23762625,2
2020-01-17,2차전지,0.99972314,,1
2020-01-20,2차전지,0.5248398,,1
2020-01-21,2차전지,0.56195986,0.08762385,2
2020-01-22,2차전지,0.66680455,0.28848734,3
2020-01-26,2차전지,0.63041824,0.1843203,2
2020-01-27,2차전지,0.99289894,,1
2020-01-28,2차전지,0.995832,,1
2020-01-29,2차전지,0.99916023,0.0011220006,3
2020-01-30,2차전지,0.9998405,0.00014854578,4
2020-01-31,2차전지,0.50002086,,1
2020-02-02,2차전지,0.00563082,,1
2020-02-04,2차전지,0.99983954,0.00010767315,25
2020-02-05,2차전지,0.49834552,0.49956676,3
2020-02-06,2차전지,0.99991244,,1
2020-02-07,2차전지,0.50001544,7.6707265e-06,2
2020-02-10,2차전지,0.99991393,2.0651955e-06,2
2020-02-11,2차전지,0.8003474,0.2759682,8
2020-02-12,2차전지,0.0008867965,,1
2020-02-13,2차전지,0.79730254,0.24023479,6
2020-02-14,2차전지,0.625203,0.24981233,4
2020-02-16,2차전지,0.3835467,0.48901084,6
2020-02-17,2차전지,0.50386995,0.49987403,3
2020-02-18,2차전지,0.9989807,0.0013175948,2
2020-02-19,2차전지,0.5000085,,1
2020-02-20,2차전지,0.50000054,,1
2020-02-21,2차전지,0.97939044,,1
2020-02-24,2차전지,0.72849673,0.19796024,3
2020-02-25,2차전지,0.7965842,0.26591584,5
2020-02-26,2차전지,0.9997435,,1
2020-02-27,2차전지,0.6688039,0.57336134,3
2020-02-28,2차전지,0.25068328,0.35266525,2
2020-03-01,2차전지,0.99986106,,1
2020-03-02,2차전지,0.9998148,0.0003018632,22
2020-03-03,2차전지,0.97600126,0.10906578,21
2020-03-04,2차전지,0.9853824,0.08326396,36
2020-03-06,2차전지,0.62494063,0.24991702,4
2020-03-08,2차전지,0.99992406,,1
2020-03-09,2차전지,0.72699034,0.32100314,2
2020-03-10,2차전지,0.77985924,0.25524217,3
2020-03-12,2차전지,0.77094615,0.30124912,2
2020-03-13,2차전지,0.68548936,0.27375817,3
2020-03-16,2차전지,0.9994587,0.0006234362,2
2020-03-17,2차전지,0.5000003,,1
2020-03-18,2차전지,0.5001336,,1
2020-03-19,2차전지,0.99990225,,1
2020-03-20,2차전지,0.9999224,,1
2020-03-24,2차전지,0.89001304,0.16097713,3
2020-03-25,2차전지,0.99990755,1.9412304e-05,3
2020-03-27,2차전지,0.5004511,,1
2020-03-30,2차전지,0.5000077,,1
2020-03-31,2차전지,0.5001209,,1
2020-04-01,2차전지,0.49356052,0.6974982,2
2020-04-02,2차전지,0.75010145,0.35327917,2
2020-04-03,2차전지,0.38988796,,1
2020-04-05,2차전지,0.9912572,,1
2020-04-06,2차전지,0.99991155,5.731971e-06,2
2020-04-07,2차전지,0.49998868,,1
2020-04-08,2차전지,0.50002974,4.8237067e-05,2
2020-04-09,2차전지,0.7531038,0.34902984,2
2020-04-10,2차전지,0.49998945,,1
2020-04-14,2차전지,0.50013965,0.70678467,2
2020-04-17,2차전지,0.74991953,0.35341004,2
2020-04-20,2차전지,0.500101,0.0001223523,2
2020-04-24,2차전지,0.49999797,3.2347707e-05,2
2020-04-26,2차전지,0.49890924,,1
2020-04-27,2차전지,0.999913,,1
2020-04-28,2차전지,0.9999112,1.18432645e-05,2
2020-04-29,2차전지,0.495078,,1
2020-05-03,2차전지,0.4999984,3.083042e-05,2
2020-05-05,2차전지,0.45545632,,1
2020-05-08,2차전지,0.0010718927,0.00094840245,2
2020-05-11,2차전지,0.5020627,,1
2020-05-13,2차전지,0.99991596,1.1168915e-05,2
2020-05-14,2차전지,0.98962915,0.014551494,2
2020-05-15,2차전지,0.6430162,0.4736669,4
2020-05-17,2차전지,0.99990815,,1
2020-05-18,2차전지,0.9933413,,1
2020-05-19,2차전지,0.999915,,1
2020-05-20,2차전지,0.8331521,0.2884944,3
2020-05-22,2차전지,0.9999001,,1
2020-05-24,2차전지,0.49968764,,1
2020-05-25,2차전지,0.6136514,,1
2020-05-26,2차전지,0.8391134,0.2720677,3
2020-05-27,2차전지,0.85216457,0.22207405,5
2020-05-28,2차전지,0.9994935,,1
2020-05-29,2차전지,0.6253705,0.22392762,7
2020-06-01,2차전지,0.7634427,,1
2020-06-02,2차전지,0.6524968,0.063434504,2
2020-06-03,2차전지,0.74996233,0.35348466,2
2020-06-04,2차전지,0.50000596,,1
2020-06-05,2차전지,0.7752845,0.38905987,3
2020-06-08,2차전지,0.999917,9.2723064e-07,2
2020-06-09,2차전지,0.99784195,0.0040107695,4
2020-06-10,2차전지,0.50179166,0.0030729794,3
2020-06-11,2차전지,0.77016723,0.3249272,2
2020-06-12,2차전지,0.5007294,0.0016288365,8
2020-06-14,2차전지,0.25019708,0.35330662,2
2020-06-15,2차전지,0.749545,0.3527238,2
2020-06-16,2차전지,0.9996877,0.0003179854,3
2020-06-17,2차전지,0.8332675,0.28861552,3
2020-06-18,2차전지,0.9999009,,1
2020-06-19,2차전지,0.746062,0.28379077,4
2020-06-22,2차전지,0.5001665,0.00022259082,3
2020-06-24,2차전지,0.799112,0.27304682,5
2020-06-25,2차전지,0.5000041,,1
2020-06-26,2차전지,0.7491926,0.3524506,2
2020-06-28,2차전지,0.50030124,,1
2020-06-29,2차전지,0.633774,0.2446566,4
2020-07-01,2차전지,0.666603,0.2885413,3
2020-07-02,2차전지,0.49980924,,1
2020-07-03,2차전지,0.44345865,0.4180161,3
2020-07-05,2차전지,0.54614085,,1
2020-07-06,2차전지,0.6855418,0.21317865,5
2020-07-07,2차전지,0.79766333,0.26733255,5
2020-07-09,2차전지,0.66606575,0.25727746,6
2020-07-10,2차전지,0.5122679,0.029828679,6
2020-07-12,2차전지,0.9998641,,1
2020-07-13,2차전지,0.99099207,0.012596724,2
2020-07-14,2차전지,0.80166054,0.26725692,5
2020-07-16,2차전지,0.86835706,0.20942362,5
2020-07-17,2차전지,0.7493882,0.28796494,4
2020-07-19,2차전지,0.53382456,,1
2020-07-20,2차전지,0.83324265,0.28859374,3
2020-07-21,2차전지,0.9790951,0.02943894,2
2020-07-22,2차전지,0.87458426,0.24972568,4
2020-07-23,2차전지,0.9999003,,1
2020-07-24,2차전지,0.99988675,,1
2020-07-26,2차전지,0.50000656,0.7068762,2
2020-07-27,2차전지,0.8597178,0.23899385,4
2020-07-28,2차전지,0.50003356,4.3856315e-05,3
2020-07-29,2차전지,0.749063,0.35221767,2
2020-07-30,2차전지,0.4925603,0.6963609,2
