date,sector,global_mean,global_std,global_count
2021-12-07,2차전지,0.53994817,0.11333568,2
2021-12-08,2차전지,0.6458106,0.11200276,2
2021-12-10,2차전지,0.6650411,0.22700769,2
2021-12-13,2차전지,0.6207557,0.13785598,2
2021-12-16,2차전지,0.65557784,0.18026213,3
2021-12-22,2차전지,0.507027,0.0006608626,2
2021-12-26,2차전지,0.55422485,,1
2021-12-27,2차전지,0.11942657,,1
2021-12-30,2차전지,0.5259803,0.018475998,2
2022-01-04,2차전지,0.94482064,,1
2022-01-05,2차전지,0.86550844,0.077122875,2
2022-01-18,2차전지,0.54418296,,1
2022-01-24,2차전지,0.3525111,0.22753556,2
2022-01-25,2차전지,0.8900485,,1
2022-01-26,2차전지,0.5392899,,1
2022-01-27,2차전지,0.25496417,0.32219905,2
2022-01-28,2차전지,0.34198055,,1
2022-02-05,2차전지,0.38776913,,1
2022-02-07,2차전지,0.5777018,,1
2022-02-08,2차전지,0.28790343,0.30026045,2
2022-02-10,2차전지,0.6043649,,1
2022-02-12,2차전지,0.5153918,,1
2022-02-21,2차전지,0.41365612,0.02747631,2
2022-02-22,2차전지,0.6219253,0.28581718,3
2022-02-24,2차전지,0.4699496,,1
2022-02-25,2차전지,0.5216283,,1
2022-03-02,2차전지,0.2779595,0.3590494,2
2022-03-03,2차전지,0.4992002,0.0138052255,3
2022-03-07,2차전지,0.5057888,0.096664175,2
2022-03-08,2차전지,0.49540418,,1
2022-03-09,2차전지,0.36020327,0.25429907,3
2022-03-10,2차전지,0.2902983,0.20559603,3
2022-03-13,2차전지,0.023281692,,1
2022-03-15,2차전지,0.46680385,,1
2022-03-17,2차전지,0.45114282,,1
2022-03-18,2차전지,0.3665342,0.25634578,3
2022-03-20,2차전지,0.5569266,,1
2022-03-21,2차전지,0.9421644,,1
2022-03-22,2차전지,0.5235516,0.032954536,2
2022-03-23,2차전지,0.50834775,,1
2022-03-24,2차전지,0.52599704,0.01948883,2
2022-03-25,2차전지,0.50520366,,1
2022-03-28,2차전지,0.65236604,,1
2022-03-30,2차전지,0.34828842,,1
2022-03-31,2차전지,0.74836636,0.20318034,2
2022-04-01,2차전지,0.4418089,0.11380859,2
2022-04-04,2차전지,0.5163087,0.029958801,2
2022-04-05,2차전지,0.62631094,,1
2022-04-06,2차전지,0.55731356,,1
2022-04-07,2차전지,0.7231575,0.27727872,2
2022-04-08,2차전지,0.029953595,,1
2022-04-11,2차전지,0.4652877,,1
2022-04-12,2차전지,0.5015943,,1
2022-04-14,2차전지,0.3406694,0.26035285,2
2022-04-16,2차전지,0.5109823,,1
2022-04-18,2차전지,0.6060003,0.051537503,2
2022-04-20,2차전지,0.68722326,,1
2022-04-21,2차전지,0.52256,0.013423687,2
2022-04-29,2차전지,0.5065517,,1
2022-05-02,2차전지,0.6020867,,1
2022-05-03,2차전지,0.5103747,,1
2022-05-04,2차전지,0.5019486,,1
2022-05-05,2차전지,0.67338765,0.36743104,2
2022-05-12,2차전지,0.424767,0.15326943,3
2022-05-14,2차전지,0.49490407,,1
2022-05-16,2차전지,0.49418437,,1
2022-05-18,2차전지,0.033479575,,1
2022-05-20,2차전지,0.082774885,,1
2022-05-23,2차전지,0.5142421,,1
2022-05-24,2차전지,0.58057094,,1
2022-05-25,2차전지,0.56262696,,1
2022-05-28,2차전지,0.48163018,,1
2022-05-29,2차전지,0.49770123,,1
2022-06-02,2차전지,0.41312426,,1
2022-06-06,2차전지,0.7428824,,1
2022-06-14,2차전지,0.56942457,,1
2022-06-17,2차전지,0.5051337,,1
2022-06-20,2차전지,0.27671686,0.34665525,2
2022-06-21,2차전지,0.3495931,,1
2022-06-23,2차전지,0.13793962,,1
2022-06-26,2차전지,0.054620285,,1
2022-07-12,2차전지,0.5024865,0.03567446,3
2022-07-14,2차전지,0.59679365,0.4933014,2
2022-07-15,2차전지,0.52103496,0.0045406907,2
2022-07-19,2차전지,0.91565037,,1
2022-07-21,2차전지,0.9471231,,1
2022-07-22,2차전지,0.5522738,,1
2022-07-25,2차전지,0.6803528,,1
2022-07-26,2차전지,0.25565395,0.3316965,2
2022-07-29,2차전지,0.7563207,,1
