date,ticker,name,end,AUM,log_return_t+5
2024-02-05,459580,KODEX CD금리액티브(합성),1007804,418001,0.0008916409013810522
2024-02-06,157450,TIGER 단기통안채,104932,14516,0.0007525852610346107
2024-02-06,423160,KODEX KOFR금리액티브(합성),103946,46058,0.0009135186969047027
2024-02-06,459580,KODEX CD금리액티브(합성),1007911,356857,0.000888572481580141
2024-02-07,157450,TIGER 단기통안채,104971,7268,0.0005238170188857083
2024-02-07,423160,KODEX KOFR금리액티브(합성),103956,102648,0.0011536687943163315
2024-02-07,459580,KODEX CD금리액티브(합성),1008001,360139,0.001099592547699757
2024-02-08,157450,TIGER 단기통안채,104986,23724,0.0005618218410798903
2024-02-08,423160,KODEX KOFR금리액티브(합성),104011,142509,0.0007496396314543574
2024-02-08,459580,KODEX CD금리액티브(합성),1008527,298273,0.0006769960862964552
2024-02-13,157450,TIGER 단기통안채,104986,7775,0.0005618218410798903
2024-02-13,423160,KODEX KOFR금리액티브(합성),104021,111888,0.000653500575850785
2024-02-13,459580,KODEX CD금리액티브(합성),1008596,533051,0.000703701199860518
2024-02-14,157450,TIGER 단기통안채,104996,10993,0.000609361332029934
2024-02-14,423160,KODEX KOFR금리액티브(합성),104031,40080,0.0007014678261061391
2024-02-14,459580,KODEX CD금리액티브(합성),1008703,494225,0.0006966918322408588
2024-02-15,157450,TIGER 단기통안채,105011,6843,0.0007044399042346328
2024-02-15,423160,KODEX KOFR금리액티브(합성),104041,365744,0.0007014004274967789
2024-02-15,459580,KODEX CD금리액티브(합성),1008807,350971,0.0006956294537712182
2024-02-16,157450,TIGER 단기통안채,105026,6055,0.0006567644593378219
2024-02-16,423160,KODEX KOFR금리액티브(합성),104076,44362,0.0006915629597887829
2024-02-16,459580,KODEX CD금리액티브(합성),1009110,383267,0.0007013623358762544
2024-02-19,157450,TIGER 단기통안채,105045,5800,0.0005710207150162461
2024-02-19,423160,KODEX KOFR금리액티브(합성),104089,336121,0.0006626746366080738
2024-02-19,459580,KODEX CD금리액티브(합성),1009210,445953,0.0006904008313384224
2024-02-20,157450,TIGER 단기통안채,105045,14438,0.0006185910596716582
2024-02-20,423160,KODEX KOFR금리액티브(합성),104089,315475,0.0007586780160018236
2024-02-20,459580,KODEX CD금리액티브(합성),1009306,392740,0.000698255923802904
2024-02-21,157450,TIGER 단기통안채,105060,4339,0.0008467763541801787
2024-02-21,423160,KODEX KOFR금리액티브(합성),104104,318182,0.0007105751155993545
2024-02-21,459580,KODEX CD금리액티브(합성),1009406,427675,0.0006962067906357561
2024-02-22,157450,TIGER 단기통안채,105085,46655,0.0006563958397585168
2024-02-22,423160,KODEX KOFR금리액티브(합성),104114,329836,0.000988811155250957
