date,ticker,name,end,AUM,target_5d,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2023-08-09,423160,KODEX KOFR금리액티브(합성),102084,124172,0.0008714512171668,단기자금,0.1380225550119576,0.3503547427092198,8.0,-0.3531822203235192,0.4250222120087785,11.0
2023-08-09,459580,KODEX CD금리액티브(합성),989678,1264476,0.0009988159459304,단기자금,0.1380225550119576,0.3503547427092198,8.0,-0.3531822203235192,0.4250222120087785,11.0
2023-08-10,157450,TIGER 단기통안채,103135,1884059,0.0008141349781425,단기자금,-0.0797699080857065,0.556331021519701,14.0,-0.1012684155542116,0.4774377282074916,13.0
2023-08-10,423160,KODEX KOFR금리액티브(합성),102099,143638,0.0009593923279656,단기자금,-0.0797699080857065,0.556331021519701,14.0,-0.1012684155542116,0.4774377282074916,13.0
2023-08-10,459580,KODEX CD금리액티브(합성),989981,1325116,0.000786574357944,단기자금,-0.0797699080857065,0.556331021519701,14.0,-0.1012684155542116,0.4774377282074916,13.0
2023-08-11,157450,TIGER 단기통안채,103165,1269955,0.0004264103100837,단기자금,0.0261350278815371,0.4766202073430531,8.0,-0.1504324468163152,0.490025332561431,12.0
2023-08-11,423160,KODEX KOFR금리액티브(합성),102123,76492,0.0008221994296686,단기자금,0.0261350278815371,0.4766202073430531,8.0,-0.1504324468163152,0.490025332561431,12.0
2023-08-11,459580,KODEX CD금리액티브(합성),990175,1814839,0.0007410084919019,단기자금,0.0261350278815371,0.4766202073430531,8.0,-0.1504324468163152,0.490025332561431,12.0
2023-08-14,157450,TIGER 단기통안채,103160,540247,0.0005717636155555,단기자금,-0.3338564794339618,0.5156787581281804,6.0,-0.0891803496263243,0.4431209022322122,11.0
2023-08-14,423160,KODEX KOFR금리액티브(합성),102148,81526,0.0007046113185911,단기자금,-0.3338564794339618,0.5156787581281804,6.0,-0.0891803496263243,0.4431209022322122,11.0
2023-08-14,459580,KODEX CD금리액티브(합성),990298,2154612,0.0006622075576174,단기자금,-0.3338564794339618,0.5156787581281804,6.0,-0.0891803496263243,0.4431209022322122,11.0
2023-08-16,157450,TIGER 단기통안채,103170,440342,0.0005232710372613,단기자금,-0.0679546688279515,0.6762006293135782,6.0,-0.2225311058262984,0.4671541688334594,15.0
2023-08-16,423160,KODEX KOFR금리액티브(합성),102163,93633,0.0006555997749408,단기자금,-0.0679546688279515,0.6762006293135782,6.0,-0.2225311058262984,0.4671541688334594,15.0
2023-08-16,459580,KODEX CD금리액티브(합성),990385,2196397,0.0006803119603624,단기자금,-0.0679546688279515,0.6762006293135782,6.0,-0.2225311058262984,0.4671541688334594,15.0
2023-08-17,157450,TIGER 단기통안채,103214,440633,0.0004358923511791,단기자금,2.970494460896589e-05,4.82215013626141e-05,4.0,-0.1356465902179479,0.393960883654083,10.0
2023-08-17,423160,KODEX KOFR금리액티브(합성),102173,610849,0.0006555356303099,단기자금,2.970494460896589e-05,4.82215013626141e-05,4.0,-0.1356465902179479,0.393960883654083,10.0
2023-08-17,459580,KODEX CD금리액티브(합성),990667,1915711,0.000676083424171,단기자금,2.970494460896589e-05,4.82215013626141e-05,4.0,-0.1356465902179479,0.393960883654083,10.0
2023-08-18,157450,TIGER 단기통안채,103219,767846,0.0004358712408514,단기자금,0.0630819331495981,0.5839022559954322,14.0,-0.04314829243554,0.6242599986252274,9.0
