date,section,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2019-04-29,global_macro,0.0009,0.0013,3.0,,,
2019-04-30,domestic_core,0.1491,0.5505,17.0,,,
2019-04-30,global_macro,-0.109,0.3624,8.0,0.8558,,1.0
2019-05-01,domestic_core,0.1896,0.8382,5.0,,,
2019-05-01,global_macro,-0.0003,,1.0,,,
2019-05-02,domestic_core,0.2458,0.5788,16.0,,,
2019-05-02,global_macro,0.0759,0.2045,5.0,-0.1814,,1.0
2019-05-03,domestic_core,0.1798,0.6648,21.0,,,
2019-05-03,global_macro,0.0008,0.5343,8.0,0.5543,,1.0
2019-05-04,global_macro,0.1171,,1.0,,,
2019-05-05,domestic_core,-0.1654,0.2339,2.0,,,
2019-05-05,global_macro,0.5075,0.6963,2.0,,,
2019-05-06,domestic_core,-0.1069,0.907,4.0,,,
2019-05-06,global_macro,-0.2029,0.7255,6.0,-0.6794,0.458,4.0
2019-05-07,domestic_core,-0.0565,0.6113,30.0,,,
2019-05-07,global_macro,0.7348,0.5028,4.0,0.1365,1.0917,2.0
2019-05-08,domestic_core,0.0454,0.6809,18.0,,,
2019-05-08,global_macro,-0.2041,0.4385,5.0,-0.3543,0.4727,4.0
2019-05-09,domestic_core,-0.1184,0.5803,21.0,,,
2019-05-09,global_macro,0.1227,0.347,8.0,-0.2875,0.325,6.0
2019-05-10,domestic_core,0.1026,0.5597,19.0,,,
2019-05-10,global_macro,0.3321,0.5782,3.0,-0.2608,0.6425,6.0
2019-05-11,global_macro,0.0239,0.033,2.0,,,
2019-05-12,domestic_core,-0.0097,0.0217,5.0,,,
2019-05-12,global_macro,-0.2496,0.4998,4.0,,,
2019-05-13,domestic_core,-0.2061,0.5778,23.0,,,
2019-05-13,global_macro,0.1078,0.1454,2.0,-0.6476,0.3361,5.0
2019-05-14,domestic_core,-0.2548,0.6526,16.0,,,
2019-05-14,global_macro,-0.0866,0.1123,6.0,-0.0285,0.0766,4.0
2019-05-15,domestic_core,0.1374,0.6234,19.0,,,
2019-05-15,global_macro,-0.1592,0.3958,5.0,-0.5469,,1.0
2019-05-16,domestic_core,-0.165,0.5382,17.0,,,
2019-05-16,global_macro,0.0029,,1.0,-0.0921,0.1473,2.0
2019-05-17,domestic_core,0.037,0.6747,14.0,,,
2019-05-17,global_macro,-0.0208,0.5358,8.0,0.1067,0.1613,2.0
2019-05-18,domestic_core,-0.4689,0.6631,2.0,,,
2019-05-18,global_macro,-0.6126,,1.0,,,
2019-05-19,domestic_core,0.3326,0.5756,3.0,,,
2019-05-20,domestic_core,0.1946,0.6568,15.0,,,
2019-05-20,global_macro,0.4874,0.5631,4.0,-0.9444,,1.0
2019-05-21,domestic_core,-0.0841,0.3848,23.0,,,
2019-05-21,global_macro,-0.2735,0.3896,2.0,0.0387,0.3025,2.0
2019-05-22,domestic_core,0.2558,0.5359,18.0,,,
2019-05-22,global_macro,0.0264,0.0545,5.0,-0.7737,,1.0
2019-05-23,domestic_core,0.2099,0.7311,15.0,,,
2019-05-23,global_macro,0.3672,0.7496,7.0,-0.4199,0.8543,3.0
2019-05-24,domestic_core,-0.0164,0.6154,19.0,,,
2019-05-24,global_macro,-0.4774,0.5548,4.0,0.0376,,1.0
2019-05-25,global_macro,0.0003,,1.0,,,
2019-05-26,domestic_core,0.4998,0.7068,2.0,,,
2019-05-26,global_macro,-0.0757,0.1166,2.0,,,
2019-05-27,domestic_core,0.0632,0.5175,21.0,,,
2019-05-27,global_macro,0.6651,0.576,3.0,,,
2019-05-28,domestic_core,0.2136,0.6918,20.0,,,
2019-05-28,global_macro,0.0,0.0,4.0,-0.8217,,1.0
2019-05-29,domestic_core,-0.304,0.6394,20.0,,,
2019-05-29,global_macro,0.2528,0.4979,4.0,-0.406,0.4611,4.0
2019-05-30,domestic_core,-0.1056,0.5808,29.0,,,
2019-05-30,global_macro,-0.0453,0.112,5.0,,,
2019-05-31,domestic_core,0.2407,0.6838,21.0,,,
2019-05-31,global_macro,-0.0001,0.0002,2.0,-0.4029,0.587,4.0
2019-06-01,global_macro,-0.9995,,1.0,,,
2019-06-02,domestic_core,0.1657,0.4055,6.0,,,
2019-06-02,global_macro,-0.4498,,1.0,,,
2019-06-03,domestic_core,0.0858,0.5818,24.0,,,
2019-06-03,global_macro,0.1383,0.3799,7.0,-0.499,0.597,2.0
2019-06-04,domestic_core,0.0916,0.4728,23.0,,,
2019-06-04,global_macro,0.0649,0.3123,7.0,-0.5882,0.3961,2.0
2019-06-05,domestic_core,0.3992,0.5668,22.0,,,
2019-06-05,global_macro,-0.0,0.0001,3.0,0.0019,,1.0
2019-06-06,domestic_core,-0.4877,0.575,4.0,,,
2019-06-06,global_macro,0.7817,0.3084,2.0,,,
2019-06-07,domestic_core,-0.1379,0.5271,14.0,,,
2019-06-07,global_macro,0.9756,,1.0,-0.8386,,1.0
2019-06-08,domestic_core,0.1,,1.0,,,
2019-06-08,global_macro,-0.0042,0.0062,2.0,,,
2019-06-09,domestic_core,0.4247,0.5319,7.0,,,
2019-06-09,global_macro,0.1121,,1.0,,,
2019-06-10,domestic_core,0.2175,0.5374,22.0,,,
2019-06-10,global_macro,-0.3287,0.5704,3.0,0.7852,,1.0
2019-06-11,domestic_core,0.041,0.5928,13.0,,,
2019-06-11,global_macro,0.171,0.3481,6.0,-0.8125,,1.0
2019-06-12,domestic_core,0.1111,0.6654,18.0,,,
2019-06-12,global_macro,-0.2841,0.9468,4.0,,,
2019-06-13,domestic_core,0.0732,0.5854,21.0,,,
2019-06-13,global_macro,0.6749,0.4644,6.0,,,
2019-06-14,domestic_core,0.0248,0.5821,16.0,,,
2019-06-14,global_macro,0.022,0.037,3.0,-0.0255,,1.0
2019-06-15,global_macro,-0.1747,,1.0,,,
2019-06-16,domestic_core,0.0186,0.7733,4.0,,,
2019-06-16,global_macro,0.0,0.0001,3.0,,,
2019-06-17,domestic_core,-0.0578,0.6184,19.0,,,
2019-06-17,global_macro,0.0,,1.0,,,
2019-06-18,domestic_core,0.0154,0.6677,10.0,,,
2019-06-18,global_macro,0.0017,0.0029,3.0,-0.1477,0.5991,3.0
2019-06-19,domestic_core,0.2611,0.6967,21.0,,,
2019-06-19,global_macro,0.3331,0.5768,3.0,-0.171,0.1005,2.0
2019-06-20,domestic_core,0.1656,0.3506,15.0,,,
2019-06-20,global_macro,-0.2373,0.4109,3.0,0.7607,,1.0
2019-06-21,domestic_core,-0.0964,0.4859,16.0,,,
2019-06-21,global_macro,0.0126,,1.0,0.7711,,1.0
2019-06-22,global_macro,-0.0634,,1.0,,,
2019-06-23,domestic_core,-0.0003,,1.0,,,
2019-06-23,global_macro,0.9997,0.0001,2.0,0.0383,,1.0
2019-06-24,domestic_core,0.0683,0.4726,13.0,,,
2019-06-24,global_macro,-0.0995,0.6019,9.0,-0.0686,0.1089,2.0
2019-06-25,domestic_core,-0.0573,0.4507,20.0,,,
2019-06-25,global_macro,0.0001,0.0002,5.0,,,
2019-06-26,domestic_core,0.1934,0.6994,14.0,,,
2019-06-26,global_macro,-0.0038,0.0085,5.0,,,
2019-06-27,domestic_core,0.1203,0.7803,11.0,,,
2019-06-27,global_macro,-0.2499,0.4998,4.0,-0.9353,,1.0
2019-06-28,domestic_core,-0.0146,0.4599,20.0,,,
2019-06-28,global_macro,-0.0002,0.0003,5.0,0.0323,0.0403,2.0
2019-06-29,domestic_core,-0.4942,0.6993,2.0,,,
2019-06-29,global_macro,-0.0,,1.0,,,
2019-06-30,domestic_core,0.1654,0.4084,6.0,,,
2019-06-30,global_macro,0.9998,,1.0,-0.0602,0.1538,2.0
2019-07-01,domestic_core,0.483,0.4686,16.0,,,
2019-07-01,global_macro,0.0865,0.2578,7.0,0.419,0.5657,2.0
2019-07-02,domestic_core,0.1102,0.537,11.0,,,
2019-07-02,global_macro,0.0017,0.0034,4.0,0.1371,0.0393,2.0
2019-07-03,domestic_core,-0.1393,0.3322,9.0,,,
2019-07-03,global_macro,-0.1251,0.6398,8.0,,,
2019-07-04,domestic_core,0.0,0.0,2.0,,,
2019-07-04,global_macro,0.4123,0.5122,7.0,,,
2019-07-05,domestic_core,-0.1707,0.5561,8.0,,,
2019-07-05,global_macro,0.3476,0.4915,2.0,-0.1577,0.4051,3.0
2019-07-06,global_macro,-0.0236,0.0335,2.0,,,
2019-07-07,domestic_core,0.9998,,1.0,,,
2019-07-07,global_macro,-0.0514,,1.0,,,
2019-07-08,domestic_core,0.0039,0.4968,15.0,,,
2019-07-08,global_macro,0.0008,,1.0,,,
2019-07-09,domestic_core,-0.1559,0.7201,16.0,,,
2019-07-09,global_macro,-0.0029,0.0051,3.0,-0.4696,0.658,2.0
2019-07-10,domestic_core,0.3077,0.6202,13.0,,,
2019-07-10,global_macro,-0.4997,0.7066,2.0,-0.1808,0.4654,5.0
2019-07-11,domestic_core,0.0787,0.6247,21.0,,,
2019-07-11,global_macro,0.4939,0.5704,4.0,0.0776,0.0987,5.0
2019-07-12,domestic_core,0.2336,0.5185,20.0,,,
2019-07-12,global_macro,0.2764,0.7541,6.0,0.0358,0.4311,6.0
2019-07-13,domestic_core,0.0,,1.0,,,
2019-07-13,global_macro,0.1242,,1.0,,,
2019-07-14,domestic_core,-0.0436,0.0769,3.0,,,
2019-07-14,global_macro,0.0,0.0,2.0,,,
2019-07-15,domestic_core,-0.0479,0.6019,16.0,,,
2019-07-15,global_macro,0.2362,0.7719,5.0,-0.0341,,1.0
2019-07-16,domestic_core,0.2759,0.5525,24.0,,,
2019-07-16,global_macro,0.2256,0.3189,2.0,,,
2019-07-17,domestic_core,0.03,0.7114,17.0,,,
2019-07-17,global_macro,0.2398,0.4647,8.0,,,
2019-07-18,domestic_core,0.0544,0.7169,14.0,,,
2019-07-18,global_macro,-0.3193,0.5444,3.0,0.754,,1.0
2019-07-19,domestic_core,0.1467,0.6613,15.0,,,
2019-07-19,global_macro,0.4954,0.7004,2.0,,,
2019-07-20,domestic_core,-0.0026,0.0043,2.0,,,
2019-07-20,global_macro,-0.0012,0.0017,2.0,,,
2019-07-21,domestic_core,0.499,0.7056,2.0,,,
2019-07-21,global_macro,-0.3811,0.5391,2.0,,,
2019-07-22,domestic_core,0.0871,0.5689,19.0,,,
2019-07-22,global_macro,0.0025,0.0045,3.0,-0.9404,,1.0
2019-07-23,domestic_core,0.1429,0.5331,14.0,,,
2019-07-23,global_macro,0.0595,0.1328,5.0,,,
2019-07-24,domestic_core,0.1088,0.7733,16.0,,,
2019-07-24,global_macro,0.2115,0.437,5.0,,,
2019-07-25,domestic_core,-0.0643,0.6998,15.0,,,
2019-07-25,global_macro,0.3314,0.5763,3.0,,,
2019-07-26,domestic_core,-0.01,0.6025,23.0,,,
2019-07-26,global_macro,-0.3333,0.5747,3.0,-0.1474,0.307,5.0
2019-07-27,domestic_core,-0.0636,0.0901,2.0,,,
2019-07-27,global_macro,0.0034,0.0054,2.0,,,
2019-07-28,domestic_core,-0.2814,0.4773,4.0,,,
2019-07-29,domestic_core,-0.2948,0.5508,24.0,,,
2019-07-29,global_macro,-0.0033,0.0081,5.0,,,
2019-07-30,domestic_core,0.1209,0.7328,19.0,,,
2019-07-30,global_macro,0.0001,0.0001,4.0,-0.7333,,1.0
2019-07-31,domestic_core,0.1381,0.6949,19.0,,,
2019-07-31,global_macro,0.5011,0.5769,4.0,-0.2802,0.5382,3.0
2019-08-01,domestic_core,-0.095,0.4848,25.0,,,
2019-08-01,global_macro,0.0037,0.0065,3.0,-0.5709,0.3699,5.0
2019-08-02,domestic_core,-0.3841,0.5773,20.0,,,
2019-08-02,global_macro,-0.2864,0.7486,7.0,-0.5481,0.5021,3.0
2019-08-03,domestic_core,0.0001,0.0001,2.0,,,
2019-08-03,global_macro,-0.3226,,1.0,-0.8539,,1.0
2019-08-04,domestic_core,-0.1064,0.5937,9.0,,,
2019-08-04,global_macro,0.9998,,1.0,-0.0025,,1.0
2019-08-05,domestic_core,-0.2417,0.6327,25.0,,,
2019-08-05,global_macro,0.0794,0.4177,7.0,-0.6739,0.4523,3.0
2019-08-06,domestic_core,-0.0579,0.6164,27.0,,,
2019-08-06,global_macro,-0.1832,0.3364,9.0,-0.2563,0.2963,5.0
2019-08-07,domestic_core,0.0031,0.442,22.0,,,
