날짜,C0_Ret,C0_Disp,C0_Vol,C0_Count,C1_Ret,C1_Disp,C1_Vol,C1_Count,C2_Ret,C2_Disp,C2_Vol,C2_Count
2024-12-18,-0.0008528784648187404,,0.004724592949983964,1,-0.0021425388228034636,,0.004054305475061395,1,9.916260682190093e-05,8.394787660863662e-05,7.885292933023624e-05,5
2024-12-19,0.011096884336321056,,0.005099526859192319,1,0.011319717608258673,,0.004544662042947581,1,0.000251210229170562,0.00010678311418017952,8.140804138168305e-05,5
2024-12-20,0.003799071338117299,,0.005114475741239458,1,-8.49242475711165e-05,,0.004570300997375671,1,0.0001084743825533252,0.00011956912972695289,8.1369330324426e-05,5
2024-12-23,-0.002943650126156383,,0.005238479137661529,1,0.00042465730155760717,,0.004544963760597856,1,0.00015309658602022936,3.839770068160274e-05,8.135365314212669e-05,5
2024-12-24,0.003374103753690516,,0.005062835554180987,1,0.0035656071719640803,,0.004493217868505807,1,0.00010872541136675018,4.391127440417958e-05,8.03933288370779e-05,5
2024-12-26,0.009667927700714563,,0.005265045834004583,1,0.005836970865901847,,0.004537313582983272,1,0.00017253842036919488,6.649056053457161e-05,7.949447983393525e-05,5
2024-12-27,0.0,,0.005251800427411055,1,0.0018502632419976628,,0.004476514685588724,1,0.0002699875795657114,5.437691680736194e-05,7.427716995503695e-05,5
2024-12-30,0.0024979184013322886,,0.005197234934054799,1,0.00411342992898045,,0.004418149428106642,1,9.927974725747468e-05,0.000138114499746023,7.148101124162974e-05,5
2025-01-02,0.0003602599062715317,0.00025749768835667936,,6,-0.001245847176079784,,,1,-0.004263786242183043,,,1
2025-01-03,1.3380234050304937e-05,0.00020631749224682294,,6,0.0,,,1,0.0010915014021595226,,,1
2025-01-06,0.0001353105381513009,0.00011181335854030473,,6,0.0,,,1,0.0015096618357488545,,,1
2025-01-07,0.0001374357235930749,8.705828605229405e-05,,6,-0.007900207900207845,,,1,-0.011640371151978024,,,1
2025-01-08,8.549258322373039e-05,6.426678740000135e-05,0.0001297529985672968,6,-0.0004191114836546994,,0.003385357891881443,1,0.0019487892087914904,,0.005812975856361698,1
2025-01-09,0.00022968816480047524,9.570829476331614e-05,0.00012093592358314034,6,0.004612159329140386,,0.0040329734620425575,1,0.004312823461759541,,0.005852918666195065,1
2025-01-10,0.00011903873713655273,7.391619884953462e-05,0.0001114929168158153,6,-0.0008347245409014992,,0.003681585882125035,1,0.0025260605244101786,,0.005522909652150017,1
2025-01-13,0.0001162526740875099,4.660816692244766e-05,0.00010409850322625631,6,0.005430242272347563,,0.004063450495726952,1,0.004619441971409843,,0.005441450229341214,1
2025-01-14,8.411892563631174e-05,1.883397408469178e-05,9.979209193378366e-05,6,-0.0008309098462816467,,0.003810034023617995,1,-0.004598200849413092,,0.005317029088867074,1
2025-01-15,5.9644010722559315e-05,9.480516511404961e-05,9.765079066328672e-05,6,-0.00540540540540535,,0.00396033636367866,1,-0.0020157564966152286,,0.005035826620107311,1
2025-01-16,0.00025188336650564896,7.785215000178097e-05,9.921741076757127e-05,6,-0.0008361204013378476,,0.0037574828581830324,1,-0.002272306475231911,,0.004802350090035111,1
2025-01-17,0.00014552365567666037,0.00010152108802569167,9.460033744316108e-05,6,-0.0008368200836820217,,0.003582922185264386,1,0.00025305351238280593,,0.004588909988922164,1
2025-01-20,0.00010038633790387941,8.269227523248187e-05,9.140807242474341e-05,6,-0.004606365159128933,,0.003598341156715072,1,-0.004300821372552277,,0.0045049618492810275,1
2025-01-21,1.1163170899627003e-05,6.856625348576994e-05,9.44699027070609e-05,6,-0.0113588557004628,,0.00443071237711437,1,-0.008028999254692026,,0.004719720487858593,1
2025-01-22,0.0001233311375972527,6.832718646650264e-05,9.10617089738534e-05,6,0.001276595744680753,,0.004339581387074214,1,-0.0011099347699873308,,0.004549094601115282,1
2025-01-23,0.00043904349058595155,0.00020305757183703422,0.00011683239280032797,6,0.00042498937526569414,,0.004220836841152427,1,0.0007692702189856515,,0.00443018367142258,1
2025-01-24,0.0003258528867250791,0.00019608338345025218,0.00012083188912636713,6,0.0,,0.00410105319923658,1,-0.005039117214990951,,0.004383073351529883,1
2025-01-31,0.0001330169360167869,0.0001514734415293104,0.00011741018660236888,6,0.014868309260832602,,0.005513423111976826,1,0.016206843270898164,,0.0059653423297361735,1
2025-02-03,8.637968084420262e-05,5.793413235856362e-05,0.00011532837138054557,6,0.006697362913352878,,0.005601737784822446,1,0.009629842374685449,,0.006250629356575432,1
2025-02-04,8.700487693310184e-05,5.311653721334139e-05,0.00011329675261314228,6,-0.0020790020790020236,,0.005471160825992153,1,-0.00175699871153423,,0.006096284880256874,1
2025-02-05,7.573688384162243e-05,3.743296980302555e-05,0.00010321230944817028,6,-0.008750000000000036,,0.005797681555983529,1,-0.012404452192570692,,0.006636218655405554,1
2025-02-06,0.00017551209492198497,9.675664997835181e-05,9.919961081210266e-05,6,-0.0021017234131988083,,0.005806659638982878,1,0.0023762645121867543,,0.006658767680404411,1
2025-02-07,0.000127899908132408,6.74980309339187e-05,9.925582084420741e-05,6,0.0004212299915753448,,0.005809837522027774,1,-0.0005079924139799186,,0.006642768477027747,1
2025-02-10,9.699341170610332e-05,6.778505957696538e-05,9.98437028071201e-05,6,0.005894736842105175,,0.005717096209239006,1,0.0032189204757224754,,0.006149959239179892,1
2025-02-11,0.00010521730370020392,7.651696520736515e-05,9.933462036104542e-05,6,0.0004185851820845965,,0.005716328560681849,1,0.0010132396649553677,,0.006139437212115967,1
2025-02-12,6.604090567656022e-05,3.7289632507459306e-05,9.870213069883793e-05,6,-0.0020920502092049986,,0.005635045667143428,1,8.435117079419463e-05,,0.006060642201130034,1
2025-02-13,0.00020717831077732285,0.00011992018282963518,9.984246647773064e-05,6,-0.0033542976939203717,,0.00567763290019446,1,-0.0037954825323459618,,0.006083097936219349,1
2025-02-14,0.00013668686774156077,7.956871427312286e-05,9.968129697827182e-05,6,-0.0016827934371056452,,0.005517620372057667,1,-0.0018626388512598124,,0.005974253186026578,1
2025-02-17,0.0001525762554098383,5.333461948665663e-05,9.876278426515873e-05,6,-0.002949852507374673,,0.005540630096616809,1,-0.0019509381467783804,,0.00591251172037501,1
2025-02-18,5.1435640928391514e-05,4.336793142374871e-05,9.915398540678517e-05,6,0.005494505494505475,,0.005599811097873928,1,0.002294708572011306,,0.005935733931590236,1
2025-02-19,2.8810239377137967e-06,8.588496537536367e-05,0.00010064112272788557,6,-0.0025220680958385477,,0.00562162593269956,1,-0.0036461689787334883,,0.005966907574870348,1
2025-02-20,0.00022971779232464998,0.00010537374166444489,0.00010294927191041213,6,-0.002949852507374673,,0.005651195552551582,1,-0.00040850368504363743,,0.005964767576415135,1
2025-02-21,0.00016028429976814676,9.93390707059051e-05,0.0001027081504121154,6,-0.0008453085376162184,,0.00556747714063649,1,-0.002554191428133512,,0.005918192450719781,1
2025-02-24,8.959171945386683e-05,9.017013259757475e-05,9.897162275662231e-05,6,-0.004653130287648022,,0.005040879427150216,1,-0.004267886713215097,,0.005718520513325974,1
2025-02-25,8.01436541966553e-05,5.804719274702652e-05,9.990430434363142e-05,6,0.0,,0.005032950495428887,1,0.0025717077854165993,,0.005746386825875669,1
