date,DXY,UUP
2019-05-13,115.915,22.101469039916992
2019-05-14,115.9425,22.152179718017578
2019-05-15,115.8565,22.160634994506836
2019-05-16,116.0346,22.219797134399414
2019-05-17,116.448,22.270505905151367
2019-05-20,116.3119,22.253602981567383
2019-05-21,116.2844,22.287410736083984
2019-05-22,116.2412,22.30431365966797
2019-05-23,116.2368,22.262056350708008
2019-05-24,116.0806,22.185989379882812
2019-05-27,116.0806,22.185989379882812
2019-05-28,116.3174,22.278959274291992
2019-05-29,116.5535,22.329668045043945
2019-05-30,116.3989,22.33812141418457
2019-05-31,116.7273,22.24515151977539
2019-06-03,116.4764,22.126829147338867
2019-06-04,116.091,22.101469039916992
2019-06-05,116.03,22.17753791809082
2019-06-06,115.9771,22.101469039916992
2019-06-07,115.7368,22.008502960205078
2019-06-10,115.5001,22.033855438232422
2019-06-11,115.3794,22.042308807373047
2019-06-12,115.438,22.101469039916992
2019-06-13,115.6275,22.11837387084961
2019-06-14,115.9057,22.2367000579834
2019-06-17,115.9684,22.24515151977539
2019-06-18,115.8797,22.278959274291992
2019-06-19,115.7889,22.17753791809082
2019-06-20,114.8046,22.042308807373047
2019-06-21,114.8377,21.93243408203125
2019-06-24,114.6559,21.89862823486328
2019-06-25,114.6363,21.949337005615234
2019-06-26,114.5608,21.96624183654785
2019-06-27,114.665,21.96624183654785
2019-06-28,114.5821,21.949337005615234
2019-07-01,114.7239,22.109922409057617
2019-07-02,114.8258,22.093017578125
2019-07-03,114.8135,22.093017578125
2019-07-04,114.8135,22.093017578125
2019-07-05,115.1132,22.211345672607422
2019-07-08,115.0254,22.253602981567383
2019-07-09,115.1017,22.270505905151367
2019-07-10,115.0879,22.17753791809082
2019-07-11,114.8361,22.17753791809082
2019-07-12,114.7685,22.135278701782227
2019-07-15,114.6819,22.169084548950195
2019-07-16,115.0111,22.270505905151367
2019-07-17,114.8819,22.228248596191406
2019-07-18,114.8744,22.109922409057617
2019-07-19,114.8695,22.219797134399414
2019-07-22,115.0018,22.262056350708008
2019-07-23,115.2995,22.363475799560547
2019-07-24,115.2436,22.363475799560547
2019-07-25,115.2982,22.405736923217773
2019-07-26,115.5449,22.43954086303711
2019-07-29,115.5885,22.456445693969727
2019-07-30,115.6211,22.456445693969727
2019-07-31,115.4946,22.5916748046875
2019-08-01,116.0499,22.524059295654297
2019-08-02,116.1864,22.473350524902344
2019-08-05,116.5851,22.363475799560547
2019-08-06,116.6904,22.388832092285156
2019-08-07,116.7987,22.371925354003906
2019-08-08,116.474,22.388832092285156
2019-08-09,116.4419,22.363475799560547
2019-08-12,116.7548,22.346572875976562
2019-08-13,116.7267,22.4479923248291
2019-08-14,117.0913,22.49870491027832
2019-08-15,117.2239,22.515607833862305
2019-08-16,117.0786,22.53251075744629
2019-08-19,117.3886,22.583221435546875
2019-08-20,117.3726,22.53251075744629
2019-08-21,117.1764,22.557870864868164
2019-08-22,117.3558,22.54096221923828
2019-08-23,117.3009,22.414186477661133
2019-08-26,117.6658,22.53251075744629
2019-08-27,117.75,22.515607833862305
2019-08-28,117.8767,22.566320419311523
2019-08-29,118.0625,22.6254825592041
2019-08-30,118.1575,22.71000099182129
2019-09-02,118.1575,22.71000099182129
2019-09-03,118.3113,22.760711669921875
2019-09-04,117.6729,22.617029190063477
2019-09-05,117.4776,22.6254825592041
2019-09-06,117.1292,22.633934020996094
2019-09-09,117.0601,22.5916748046875
2019-09-10,117.0887,22.617029190063477
2019-09-11,117.3125,22.684646606445312
2019-09-12,116.8375,22.617029190063477
2019-09-13,116.7677,22.583221435546875
2019-09-16,117.0251,22.684646606445312
2019-09-17,116.9826,22.583221435546875
2019-09-18,116.9766,22.667739868164062
2019-09-19,117.0861,22.617029190063477
2019-09-20,117.1819,22.676193237304688
2019-09-23,117.2986,22.71000099182129
2019-09-24,117.2227,22.6254825592041
2019-09-25,117.6527,22.802967071533203
2019-09-26,117.7267,22.862133026123047
2019-09-27,117.7218,22.828327178955078
2019-09-30,117.9461,22.904394149780273
2019-10-01,117.9595,22.828327178955078
2019-10-02,117.9671,22.811424255371094
2019-10-03,117.6608,22.802967071533203
2019-10-04,117.5288,22.78606605529785
2019-10-07,117.5533,22.828327178955078
2019-10-08,117.7407,22.862133026123047
2019-10-09,117.6835,22.845230102539062
2019-10-10,117.2801,22.75225830078125
2019-10-11,116.8239,22.667739868164062
2019-10-14,116.8239,22.7353572845459
2019-10-15,116.8111,22.667739868164062
2019-10-16,116.6425,22.608579635620117
2019-10-17,116.2615,22.524059295654297
2019-10-18,116.1344,22.43954086303711
2019-10-21,116.0436,22.456445693969727
2019-10-22,115.9851,22.507158279418945
2019-10-23,116.0586,22.49870491027832
2019-10-24,116.1278,22.566320419311523
2019-10-25,116.0774,22.5916748046875
2019-10-28,116.0222,22.574771881103516
2019-10-29,115.9797,22.566320419311523
2019-10-30,116.1636,22.515607833862305
2019-10-31,115.9125,22.473350524902344
2019-11-01,115.7312,22.46489715576172
2019-11-04,115.8624,22.549415588378906
2019-11-05,116.1138,22.633934020996094
2019-11-06,116.1004,22.633934020996094
2019-11-07,116.1172,22.684646606445312
2019-11-08,116.3436,22.7353572845459
2019-11-11,116.3436,22.701547622680664
2019-11-12,116.5837,22.7353572845459
2019-11-13,116.8397,22.726905822753906
2019-11-14,116.8022,22.71000099182129
2019-11-15,116.4401,22.659290313720703
2019-11-18,116.3625,22.617029190063477
2019-11-19,116.5391,22.64238739013672
2019-11-20,116.828,22.64238739013672
2019-11-21,116.7435,22.676193237304688
2019-11-22,116.9137,22.743806838989258
2019-11-25,117.0098,22.760711669921875
2019-11-26,117.0513,22.7353572845459
2019-11-27,117.1273,22.769163131713867
2019-11-28,117.1273,22.769163131713867
2019-11-29,117.1204,22.743806838989258
2019-12-02,116.9647,22.650836944580078
2019-12-03,116.8898,22.6254825592041
2019-12-04,116.692,22.600126266479492
2019-12-05,116.3838,22.549415588378906
2019-12-06,116.5381,22.633934020996094
2019-12-09,116.3283,22.608579635620117
2019-12-10,116.2542,22.583221435546875
2019-12-11,116.1478,22.49870491027832
2019-12-12,115.8741,22.53251075744629
2019-12-13,115.6967,22.53251075744629
2019-12-16,115.555,22.490253448486328
2019-12-17,115.5553,22.53251075744629
2019-12-18,115.6618,22.574771881103516
2019-12-19,115.5988,22.574771881103516
2019-12-20,115.7598,22.650836944580078
2019-12-23,115.8059,22.63876724243164
2019-12-24,115.8059,22.63876724243164
2019-12-25,115.8059,22.63876724243164
2019-12-26,115.634,22.604284286499023
2019-12-27,115.22,22.49220848083496
2019-12-30,114.9631,22.449106216430664
2019-12-31,114.669,22.38875961303711
2020-01-01,114.669,22.38875961303711
2020-01-02,114.9745,22.466346740722656
2020-01-03,114.9867,22.49220848083496
2020-01-06,114.9557,22.44048500061035
2020-01-07,115.1477,22.5180721282959
2020-01-08,115.1328,22.57842254638672
2020-01-09,115.2331,22.621524810791016
2020-01-10,115.0677,22.604284286499023
2020-01-13,115.0342,22.604284286499023
2020-01-14,115.0239,22.612903594970703
2020-01-15,114.9528,22.57842254638672
2020-01-16,115.0006,22.612903594970703
2020-01-17,115.0656,22.690494537353516
2020-01-20,115.0656,22.690494537353516
2020-01-21,115.1876,22.673250198364258
2020-01-22,115.2273,22.656007766723633
2020-01-23,115.5545,22.716358184814453
2020-01-24,115.5556,22.750839233398438
2020-01-27,115.8004,22.785324096679688
2020-01-28,115.7239,22.785324096679688
2020-01-29,115.7003,22.819808959960938
2020-01-30,115.8077,22.750839233398438
2020-01-31,115.7345,22.656007766723633
2020-02-03,116.1172,22.768083572387695
2020-02-04,115.9291,22.802566528320312
2020-02-05,116.009,22.888776779174805
2020-02-06,116.1518,22.931882858276367
2020-02-07,116.5086,22.98360824584961
2020-02-10,116.5711,23.01809310913086
2020-02-11,116.3585,22.992229461669922
2020-02-12,116.2794,23.052576065063477
2020-02-13,116.3999,23.078439712524414
2020-02-14,116.4223,23.0698184967041
2020-02-17,116.4223,23.0698184967041
2020-02-18,116.6039,23.156028747558594
